State,Count
Alabama,42
Alaska,444
Arizona,356
Arkansas,362
California,305
Colorado,195
Connecticut,300
Delaware,138
Florida,497
Georgia,336
Hawaii,445
Idaho,128
Illinois,165
Indiana,206
Iowa,295
Kansas,254
Kentucky,301
Louisiana,26
Maine,102
Maryland,151
Massachusetts,14
Michigan,488
Minnesota,470
Mississippi,268
Missouri,410
Montana,316
Nebraska,330
Nevada,415
New Hampshire,169
New Jersey,293
New Mexico,348
New York,223
North Carolina,395
North Dakota,116
Ohio,67
Oklahoma,338
Oregon,278
Pennsylvania,25
Rhode Island,103
South Carolina,279
South Dakota,242
Tennessee,102
Texas,491
Utah,489
Vermont,321
Virginia,58
Washington,324
West Virginia,396
Wisconsin,228
Wyoming,450
